Country,State,Year,Residence Type,Household Type,Asset Holding Class,Asset Type,Asset Name,"Average Value Of Assets (Ava) Per Household (UOM:INR(IndianRupees)), Scaling Factor:1"
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,4,Asset Category,Non-Farm Business equipment,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,4,Asset Category,Transport equipment,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,4,Asset Category,Share etc,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,4,Asset Category,Deposits etc,108496
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,4,Loan Receivable,Cash & Kind,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,4,Cash Loan,Cash loan outstanding,30600
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,5,Asset Category,Land,182157
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,5,Asset Category,Building,144740
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,5,Asset Category,Livestock & Poultry,14596
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,5,Asset Category,Farm Business equipment,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,5,Asset Category,Non-Farm Business equipment,2172
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,5,Asset Category,Transport equipment,5181
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,5,Asset Category,Share etc,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,5,Asset Category,Deposits etc,15192
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,5,Loan Receivable,Cash & Kind,160
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,5,Cash Loan,Cash loan outstanding,884
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,6,Asset Category,Land,36454
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,6,Asset Category,Building,54681
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,6,Asset Category,Livestock & Poultry,14512
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,6,Asset Category,Farm Business equipment,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,6,Asset Category,Non-Farm Business equipment,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,6,Asset Category,Transport equipment,1429
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,6,Asset Category,Share etc,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,6,Asset Category,Deposits etc,310161
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,6,Loan Receivable,Cash & Kind,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,6,Cash Loan,Cash loan outstanding,20129
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,7,Asset Category,Land,234077
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,7,Asset Category,Building,211152
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,7,Asset Category,Livestock & Poultry,290
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,7,Asset Category,Farm Business equipment,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,7,Asset Category,Non-Farm Business equipment,454
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,7,Asset Category,Transport equipment,23698
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,7,Asset Category,Share etc,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,7,Asset Category,Deposits etc,177898
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,7,Loan Receivable,Cash & Kind,905
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,7,Cash Loan,Cash loan outstanding,20739
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,8,Asset Category,Land,167348
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,8,Asset Category,Building,366560
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,8,Asset Category,Livestock & Poultry,233
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,8,Asset Category,Farm Business equipment,46
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,8,Asset Category,Non-Farm Business equipment,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,8,Asset Category,Transport equipment,73855
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,8,Asset Category,Share etc,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,8,Asset Category,Deposits etc,338557
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,8,Loan Receivable,Cash & Kind,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,8,Cash Loan,Cash loan outstanding,49969
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,9,Asset Category,Land,874101
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,9,Asset Category,Building,324304
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,9,Asset Category,Livestock & Poultry,12429
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,9,Asset Category,Farm Business equipment,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,9,Asset Category,Non-Farm Business equipment,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,9,Asset Category,Transport equipment,31790
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,9,Asset Category,Share etc,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,9,Asset Category,Deposits etc,107913
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,9,Loan Receivable,Cash & Kind,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,9,Cash Loan,Cash loan outstanding,133730
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,10,Asset Category,Land,869388
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,10,Asset Category,Building,1240304
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,10,Asset Category,Livestock & Poultry,7800
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,10,Asset Category,Farm Business equipment,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,10,Asset Category,Non-Farm Business equipment,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,10,Asset Category,Transport equipment,192352
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,10,Asset Category,Share etc,0
